tid,lemma,is_anim,is_neg,towards_whom,moral_sense,civil,agency,rational,tweet
1389984136337760261,fare,1,1,ataturk,0,1,0,0,Daha kamalınızın tüm cinayetleri ortaya çıkacak. Az durun daaaa trabzanlılar. O zilan deresi katliamı tüm aziz kürt halkına gençlerine anlatılsın derhal. Bakın neler olacak delik bulamayacaksınız kaçıcak delik. Lağım faresi kemal it oğlu itler
1333299180048179207,fare,1,1,pkk,hdp,kurt,0,1,0,0,@enveraysevera Sadece Amerikan Emperyalizmine kulluk etmeli değil mi ? Atatürk ve Türk sana ne ifade ediyor ? Bunları silmek medeniyet mi ? Kürt ayrılıkçı Lağım farelerine son !
1358888189461733377,fare,1,1,turk,0,1,0,0,#ÖnderApoDiyorki Bütün kürtler birleşin ve indirin yumruğu moğol farelerine
1326658993188712506,fare,1,1,pkk, hdp,0,1,0,0,@HasipKAPLAN Hasip sen ancak dağ farelerini kandırırsın! Vatansever kürt senin gibi tiplemelerin anca sıfatına tükürür  bu analarında hesabını vereceksiniz kansızlar https://t.co/UI8eDeglv4
1392610124515184643,fare,1,1,@,0,1,0,0,Sen kimsin lağım faresi terörist  .    Sen Kürt değil teröristsin mezopotamya eşeği
1352897574861221889,fare,1,1,yavuzbahadiroglu,0,1,0,0,@Ata_18811 Lanet olsun bu iğrenc farelere atatürke düşman  izmiri kurtarıp türkiye bayrağı aşan diyarbakırlı  kahraman kürt süvarisi reşit e düsman zilanda vatanı kurtaran bu kahramanları   makinalı tüfeklerle taradılar devlet konuşma yapacak toplanın diyerek  tuzağa düşürdüler https://t.co/oED0s0WEA0
1337801862909747200,fare,1,1,mhp,0,1,0,0,@Cns__Dmr__ Onlar lağım fareleri. Biz kürtlerden çok Türk arkadaşların tepki koyması lazım.
1324791158241959936,fare,0,,,,,,,Cezaevinde ağzına ölmüş fare koyulan Abdürrahim Semavi bu hissten ağzını yıkamakla kurtulamıyor dişini çektiriyor. Kürt meselesini böyle işkence zulümlerle bitiremezsiniz. 60 yaşındaki kadınları tehdit ederek Seni imha ederim  seni atarım ıssız yerlerde. diyerek bitiremezsiniz! https://t.co/E2ycRlJFT6
1384081724968108038,fare,0,,,,,,,@y_ozgurpolitika @humanistwomen1 Fare 3D animasyon veya kısa bir  savaş filmi olarak yapılsa  birdaha dünyaya rezil olsalar çok güzel olurdu  izleyen Kürt halkının güveni daha yüksek olur
1358819499609309188,fare,0,,,,,,,Hüsyeyine fare yaşlı Kürtlerin popüler sanatçısı ❤️❤️ #dengbejekurda
1393930461320200193,fare,1,1,arap, kurt, ermeni, yahudi, acem,0,1,0,0,@ttahaber Ortadoğunun fareleri yine rahat durmuyor. Arabı kürdü ermenisi yahudisi acemi hep bi pislik
1393951701103742984,fare,0,,,,,,,“Araplarsa  Kürtleri üzerlerine çökmüş ve hareket özgürlüklerini kısıtlayan bir karabasan olarak görüyorlar. Şöyle bir atasözleri var:  Dünyada üç tane musibet var:  Kürt  fare ve çekirge sürüsü” (s.96)
1386042752882839554,fare,1,1,hdp,0,1,0,0,@HDPgenelmerkezi Bir kürt olarak ez ciya ve kunekanim oruspunun cocuklari siz asla kurt partisi olmadiniz olmayacaksiniz siz abd yalakasi kopeklersiniz siz it gibi oleceksiniz kurtler sizi ve itlerinizi savunmayacak sizi fare deligine tikayacagiz kurtler gibi serefli halk muhtac degil size
1343031880623525889,fare,1,1,hdp,0,1,0,0,Meclise girmiş bir Mezopotamya faresi Türk düşmanlığı üzerine dakikada 40 iftira 40 yalan yazabilir..
1376435227686547458,fare,1,1,@,0,1,0,0,@ilhBaskan Arap değil kürt kökenliyim ırkçılık karşıtı bir insanım. Senin gibi çöl fareleri anlamaz bunu
1358768511888277510,fare,1,1,hdp,0,1,0,0,@PervinBuldan Yüreğiniz yetiyorsa devletimizin yatırımlarını  bu yeni binaları da paylaşın lağım fareleri sizi. Kürt halkı kimin ne olduğunu çok iyi anladı. Şuan cizrede barış var huzur var. Sizler de kininizde boğulun ooohhhh ohhhhhhhh https://t.co/EAEL1CCZsg
1341125630163886083,fare,1,1,kurdish political movement,0,1,0,0,@yenisafak Bu kahpeler gariban kürt çocuklarının kanını kemiren lağım fareleri şerefsiz kuyruğu dışarda olduğu için böyle havliyor gereken yapılmalı bu domuz için...
1379686990166302722,fare,1,1,turk,0,1,0,0,Asarız keseriz diye Kürtleri tehdit eden bu Qunek Makedonya’da sahte bir Bulgar kimlikle saklamış ve şu anda tutuklanmış. Bütün Türkler böyle korkak ve sahtekarlar Kendi devletine bile güvenmiyor  Güçü oldumu köpek gibi bağıran kişi kül faresi gibi kendini yeraltınada saklıyor https://t.co/h8wwvAyFFL
1331012049883832325,fare,1,1,suleymansoylu,0,1,0,0,Bir Kürt olarak sana söylüyor soysuz Ulan lagim faresi  veledi zina Kirmes devsirme @suleymansoylu Sen kim kürde rol biçiyorsun lağım faresi
1361595145817309187,fare,0,,,,,,,İlk Kürt filmi olan Zare den güzel bir görüntü. https://t.co/n21uckKD3R
1390020380887236610,fare,0,,,,,,,Kürt annelerimiz (heyy ti kurban   zare gelkebi)                                  ×kürt çocukģu(bira zare  gelke       kurbana mi bi 😭😢                         ×ma jimi citirin ❤⚘🕊
1379789806243315716,fare,1,1,pkk, hdp, kurt,0,1,0,0,#kürtçe taga yine toplanmış dağ fareleri ulan sizin yüzünüzden ülkesini seven Kürdünde adı kötüye çıkıyor.
1368121029311279105,fare,1,1,@,0,0,0,1,Bir tane aptal ortaya böyle bir yalan atıyor  bin aptal da bunun ardına düşüp inanıyor. Sizin ben amınıza koyayım. Koduğumun dağ fareleri.
1361297523818774531,fare,1,1,@,0,1,0,0,@SeyfullahThe @Warrior_f18 @bbcturkce Got veren  adam Kurdistan mi dedi Kürtlere saldırmak için bahane arıyorlar mi dedi? Başka bir ülkede Kürdistan varmış yokmuş seni ilgilendirmez.     Laham faresi
1338885771634352130,fare,0,,,,,,,Fransız Sosyalist Parti Genel Sekreteri Olivier Faure Meclis’te Başbakan Macron’a: Dün Kürtleri (PKK olsa gerek)  bugün Ermenileri sattınız  yarın sıra Kıbrıslılarda (Rumlar) mı? diyerek sert tepki gösterdi. @senateur61
1361332100184608772,fare,1,1,pkk, hdp,0,1,0,0,#kürt Etnik faşistler gene Kurt diye  kasmaya başlamış. Bu o.cocugu PKK'ya ne zaman sovmeye başlasak  Kürt diye tag açılıyor!! Sen Kürt'sun diye size ayrı hassas olacak değilim. Sende Vatandaşsın bende. PKK ve diğer lağım farelerini savunan her kimse   Kürt   Türk vs vs topunun..
1337411309390983169,fare,1,1,jeffrey,0,1,0,0,Fare yüzlü  iki ayakli organizma.
1385703060442427394,fare,1,1,pkk, hdp, kurt,0,1,0,0,Bu mağara farelerinin kürt ajitasyonu ne zaman bitecek
1384250237963833349,fare,1,1,turk,0,1,0,0,@fenafillaaah @inanisik_ Asya faresi olmayı kürt olmaya tercih ederim
1361668245103771649,fare,1,1,kurt,0,1,0,0,@turquoise158 @Bajar80676353 Kürtler Önce kendinize bakın sonra konuşun zagros fareleri https://t.co/dDC2KVbR5g
1350807317323763721,fare,1,1,davutoglu,0,1,0,0,@MstSelanik Bir mitinginde akp’ye oy vermezseniz ‘beyaz toroslar geri gelecek’ diye Kürtleri tehdit ediyordu yer faresi. Geldi ama bu kez kendisi için geldi. Etme bulma dünyası işte.
1340971675370856452,fare,1,1,@,0,1,0,0,@filankes3421 @FranzKa19227487 @ahmetozturk2020 @bbcturkce Kürtler söz konusu olmasıyla alakalı değil  meşru bir devleti bölmeye çalışan teröristler söz konusu olduğunda  ayrıca Avrupalılar geçmişten gelen acılara sebebiyle kim Türklerin karşısında ise onu destekliyorlar  yoksa İngiltere IRA'ya sevgi dolu yaklaşırdı değil mi dağ faresi ?
1326991595951034371,fare,1,1,@,0,1,0,0,@hakanilbas @asoszen Kanı bozuk şerefsiz Türkiyede VİP hayatı yaşadınız! Yüz milyara lira Türkiyeye zarar verdiniz. Sözde kürtsünüz  Kürt analarını Türk analarını ağlattınız kürtlerle Türklerin kanlarını içerek sarhoşladınız artık sonunuz geldi hepiniz fare kapanında yerinizi alacaksınız.
1381202403328950274,fare,0,,,,,,,Fars tarihini çalarak daha dilleri bile farklı olan azerilere kürt diyerek kendini birşey sanma  azeriler farsdır Azerbaycan Türktür!
1361006378480001024,fare,1,1,pkk, hdp,0,1,0,0,@sahra_idin @Gurbett021 @yatamamkesya @Semh2136 Sen salak mısın kızım bu ülke laz çerkes kürt türk asırlardır birlik içinde yaşıyor iki üç dağ faresi çıkıp dışladı diye hakikati görmeyecek değiliz aklınızı başınıza alın bu vatanda kaç çeşit millet birlik içinde yaşıyor beğenmiyorsan git
1348714178572410886,fare,1,1,ocalan, demirtas,0,1,0,0,Bebek katili dağ faresi Öcalan neyse Demirtaş da öyle bir teröristtir. Türk milletinin hainlere sabrı kalmadı. HDP kapatılsın  Kürt ırkçılığı suç sayılsın. Kürt milliyetçiliği denen şey bölücü terör propagandasıdır.   #TeröristDemirtas #hdpkapatılsın  https://t.co/Cy0TD1ydPA
1361287007436234753,fare,1,1,ocalan,0,1,0,0,@Piremerdo Önce üslubuna dikkat et kendine gel .gare direnişi diyorsun ya nedense o direnişi efrinde niye göstermediniz.sizin tek yaptığınız şey Kürtlerin coğrafyasını talan etmek ve peşkeş çekmek .gerçi bunu sen anlamazsın çünkü iradeni İmralı’daki lağım faresine teslim etmişsin
1331205301270351874,fare,1,1,@, turk,0,1,0,0,@Td8Godas Yasalarında kürdü inkar eden işgalci domuzlar. Orta asya faresi..
1336518496293974016,fare,1,1,?,,,,,@kanseretkisi Allah'ım sen Kürt erkeklerini bu kanalizasyon farelerinden koru
1363454763996708868,fare,1,1,pkk,0,1,0,0,@deryabozkurtt Söyleneni saptırıp  Kürt milletinin adını kullanıp arkasına saklanarak; Türk  Kürt çocuklarının katili  Türk  Kürt çocuklarının tecavüzcüsü pislik terörist dağ fareleri ve onların yardakçısı  destekçisi  emperyal maşası siyasi hainleri mi aklayacaksınız aklınızca?!
1361241013810061314,fare,1,1,pkk, kdp,0,1,0,0,@tsktl06 @Rzgar98471919 @Yasin10477145 @Hasan23251172 @EczHasanTufan @ConflictTR Bundan niye Türk milettinin ve devletinin haberi yok? Suriye de YPG-PKK'yı destekleyen Irakta kürt devletini kurmaya çalışan dağ farelerini destekleyen İsrail mi bizim dostumuz? Veya Doğu Akdeniz'de Rum ve Yunanlar ile birlikte olup Türkiyeyi yok sayan İsrail mi dostumuz?
1383792649652498434,fare,1,1,pkk,0,1,0,0,@Sleyman76076952 @canbegyekbun Kuduz köpek gibi hemen güney kürdistana https://t.co/atOGThLyXM guney kürdistan uluslararası meşruiyeti olan bir statüye sahip.pkk dediğin mağara farelerini tüm dünya terörist olarak kabul etmiş. Amina koyduğumun çocuğu türke araba farsa düşmanlık yap neden kürtlere yapiyon piç
1393026740851724294,fare,1,1,barzani,1,1,0,0,@RudawTurkce Barzani denilen aşağılık düşkün lağım faresi halen Kürtlere karşı her türlü alçaklığı yapmaya devam etsin
1356682840365268993,fare,1,1,hdp,0,1,0,0,@HDPgenelmerkezi Son çırpınışınız pisliğinizde boğulacaksınız yıllarca Kürt kardeşlerimizin duyguları ile oynadınız sıra üniversitelerde mi aşağıya gömüleceksiniz lağım fareleri
1366449542892302342,fare,0,,,,,,,lokantalar sabah 7 akşam 7 saatlerinde açık peki gece ailelere hizmet veren lokanta kebapçılar yine kapalı  meyhane  bar  müzikli mekanlar yine kapalı  ne oldu dağ fare doğurdu okullar yine kapalı   güney doğu illeri masmavi kürt vatandaşlar coronaya karşı bağışık herhalde
1363532086297194498,fare,1,1,ortadogu,0,0,1,0,@FerdacetinF Garantörler izin vermiş. Oyun içinde oyun kürt hareketi ve Kürt halkını tc eliyle sopa havuç göstermek. Helal olsun bu küresel güçlere. Kedinin fare ile oynaması gibi ortadoğu haklarıyla oynuyorlar.
1341031791499603968,fare,1,1,pkk, hdp,0,1,0,0,@yenisafak KANDİL VE DESTEKÇİLERİ ASLA BİZİM TEMSİLCİLERİMİZ DEĞİL. MARDİNLİ KÜRT OĞLU KÜRT OLARAK SANA VE SENİN GİBİ GERİZEKALILARA SESLENİYORUM SİZDEN DAHA KALİTELİ GERİ ZEKALI YOK. ŞEHİR FARELERİ YILLARDIR HİÇ UĞRUNA BİNLERCE GENCİ KANDIRARAK DAĞA BİLE BİLE ÖLÜME GÖNDERDİNİZ VATANSIZLAR. https://t.co/CvtMZgi1FA
1094664831456759814,fare,0,,,,,,,Lağım faresini yiyeceksin  dediler. Birden sandalyemi çektiler ve yere yığıldım. Sonra da fareyi  parçalaya parçalaya bana yedirdiler  #ÇayanDemirel #5NoluCezaevi #İşkence #Kürtler #NurettinSoyer #TunçSoyer https://t.co/T1VGfVW1Jv
1379205557064716293,fare,0,,,,,,,@jindarucar Kardeşim burada Google translate var. Biriniz Türklerle cennete bile gidilmez diyor öbürünüz fareleri sıçanları duydun mu diye alıntılıyor. Nedir bu? Şimdi burada Türk yerine Kürt koyup aynısını yazsak hoş olur mu? https://t.co/hy9QRq56tZ
1337612821941661696,fare,1,1,pkk, hdp,0,1,0,0,@HDPgenelmerkezi MAĞARA FARELERİ  OROSPUNUN DOĞURDUKLARI PİÇLERİ. BİR GÜN YOK OLUP GİDECEKSİNİZ TERÖRİST SOYSUZLARI  SİZİN YÜZÜNÜZDEN ADIMI LEKELENİYOR. KÜRT HALKININ SIRTINDAN Bİ İNİN  YOK OLMANIZ YAKINDIR. ANNELERİ BELLİ BABASI MEÇHUL İĞRENÇ YARATIKLAR.
